시군구,요일,accident_count
대전광역시 서구 둔산동,화요일,143
대전광역시 서구 만년동,금요일,31
대전광역시 서구 만년동,목요일,22
대전광역시 서구 만년동,수요일,18
대전광역시 서구 만년동,월요일,23
대전광역시 서구 만년동,일요일,15
대전광역시 서구 만년동,토요일,18
대전광역시 서구 만년동,화요일,19
대전광역시 서구 매노동,수요일,1
대전광역시 서구 매노동,월요일,2
대전광역시 서구 매노동,토요일,1
대전광역시 서구 변동,금요일,20
대전광역시 서구 변동,목요일,24
대전광역시 서구 변동,수요일,25
대전광역시 서구 변동,월요일,19
대전광역시 서구 변동,일요일,15
대전광역시 서구 변동,토요일,18
대전광역시 서구 변동,화요일,20
대전광역시 서구 복수동,금요일,13
대전광역시 서구 복수동,목요일,9
대전광역시 서구 복수동,수요일,18
대전광역시 서구 복수동,월요일,14
대전광역시 서구 복수동,일요일,6
대전광역시 서구 복수동,토요일,13
대전광역시 서구 복수동,화요일,13
대전광역시 서구 산직동,토요일,1
대전광역시 서구 산직동,화요일,1
대전광역시 서구 오동,월요일,1
대전광역시 서구 오동,일요일,1
대전광역시 서구 용문동,금요일,36
대전광역시 서구 용문동,목요일,34
대전광역시 서구 용문동,수요일,32
대전광역시 서구 용문동,월요일,27
대전광역시 서구 용문동,일요일,20
대전광역시 서구 용문동,토요일,37
대전광역시 서구 용문동,화요일,37
대전광역시 서구 용촌동,수요일,1
대전광역시 서구 우명동,목요일,2
대전광역시 서구 원정동,금요일,1
대전광역시 서구 원정동,토요일,1
대전광역시 서구 월평동,금요일,78
대전광역시 서구 월평동,목요일,66
대전광역시 서구 월평동,수요일,77
대전광역시 서구 월평동,월요일,67
대전광역시 서구 월평동,일요일,57
대전광역시 서구 월평동,토요일,69
대전광역시 서구 월평동,화요일,64
대전광역시 서구 장안동,목요일,1
대전광역시 서구 장안동,월요일,1
대전광역시 서구 장안동,일요일,3
대전광역시 서구 정림동,금요일,17
대전광역시 서구 정림동,목요일,18
대전광역시 서구 정림동,수요일,11
대전광역시 서구 정림동,월요일,12
대전광역시 서구 정림동,일요일,16
대전광역시 서구 정림동,토요일,14
대전광역시 서구 정림동,화요일,22
대전광역시 서구 탄방동,금요일,77
대전광역시 서구 탄방동,목요일,69
대전광역시 서구 탄방동,수요일,51
대전광역시 서구 탄방동,월요일,62
대전광역시 서구 탄방동,일요일,38
대전광역시 서구 탄방동,토요일,50
대전광역시 서구 탄방동,화요일,61
대전광역시 서구 평촌동,화요일,2
대전광역시 서구 흑석동,금요일,1
대전광역시 서구 흑석동,목요일,1
대전광역시 서구 흑석동,수요일,1
대전광역시 서구 흑석동,월요일,1
대전광역시 서구 흑석동,일요일,2
대전광역시 서구 흑석동,토요일,1
대전광역시 서구 흑석동,화요일,1
대전광역시 유성구 가정동,금요일,4
