사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022080400100149,2022년 8월 4일 10시,목요일,대전광역시 중구 유천동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,72세,기타불명,자전거,여,63세,중상
2022080400100175,2022년 8월 4일 11시,목요일,대전광역시 중구 대흥동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,69세,기타불명,보행자,여,81세 이상,경상
2022080400100293,2022년 8월 4일 14시,목요일,대전광역시 대덕구 대화동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,38세,상해없음,승용,여,50세,중상
2022080400100333,2022년 8월 4일 15시,목요일,대전광역시 서구 괴정동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,이륜,남,21세,경상
2022080400100365,2022년 8월 4일 16시,목요일,대전광역시 중구 산성동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,67세,경상,,,,
2022080400100366,2022년 8월 4일 16시,목요일,대전광역시 서구 복수동,경상사고,0,0,1,0,차대차 - 기타,중앙선침범,건조,맑음,단일로 - 기타,승용,여,60세,상해없음,승용,남,30세,경상
2022080400100367,2022년 8월 4일 16시,목요일,대전광역시 서구 관저동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,77세,기타불명,승용,남,43세,경상
2022080400100402,2022년 8월 4일 17시,목요일,대전광역시 서구 변동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,58세,상해없음,승용,여,58세,경상
2022080400100403,2022년 8월 4일 17시,목요일,대전광역시 유성구 자운동,중상사고,0,1,0,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,63세,상해없음,이륜,남,37세,중상
2022080400100436,2022년 8월 4일 18시,목요일,대전광역시 대덕구 덕암동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,50세,상해없음,이륜,남,50세,경상
2022080400100437,2022년 8월 4일 18시,목요일,대전광역시 유성구 봉명동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,65세,상해없음,보행자,남,12세 이하,경상
2022080400100469,2022년 8월 4일 19시,목요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,45세,상해없음,승용,남,30세,경상
2022080400100510,2022년 8월 4일 21시,목요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,52세,기타불명,이륜,남,44세,경상
2022080400100511,2022년 8월 4일 21시,목요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,20세 이하,상해없음,보행자,남,24세,경상
2022080400100548,2022년 8월 4일 23시,목요일,대전광역시 대덕구 비래동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,42세,상해없음,승용,남,54세,경상
2022080400100549,2022년 8월 4일 23시,목요일,대전광역시 대덕구 오정동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,28세,상해없음,승용,남,28세,중상
2022080500100025,2022년 8월 5일 02시,금요일,대전광역시 서구 용문동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,20세 이하,상해없음,승용,남,49세,경상
2022080500100044,2022년 8월 5일 05시,금요일,대전광역시 중구 대흥동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,20세 이하,경상,화물,남,60세,경상
2022080500100125,2022년 8월 5일 09시,금요일,대전광역시 유성구 구성동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,37세,상해없음,보행자,남,38세,경상
2022080500100161,2022년 8월 5일 10시,금요일,대전광역시 서구 관저동,경상사고,0,0,1,0,차대사람 - 기타,기타,젖음/습기,비,기타 - 기타,이륜,남,56세,상해없음,보행자,남,56세,경상
2022080500100233,2022년 8월 5일 12시,금요일,대전광역시 동구 자양동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,21세,상해없음,보행자,여,72세,중상
2022080500100234,2022년 8월 5일 12시,금요일,대전광역시 서구 둔산동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,승용,여,54세,경상
2022080500100274,2022년 8월 5일 13시,금요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승합,남,29세,상해없음,승용,남,38세,경상
2022080500100305,2022년 8월 5일 14시,금요일,대전광역시 동구 가양동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,승용,여,37세,경상
2022080500100306,2022년 8월 5일 14시,금요일,대전광역시 대덕구 덕암동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,59세,상해없음,승용,남,25세,경상
2022080500100345,2022년 8월 5일 15시,금요일,대전광역시 동구 판암동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,41세,상해없음,보행자,여,77세,중상
2022080500100346,2022년 8월 5일 15시,금요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,31세,기타불명,화물,남,50세,경상
2022080500100347,2022년 8월 5일 15시,금요일,대전광역시 유성구 대정동,중상사고,0,1,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,여,49세,중상
2022080500100434,2022년 8월 5일 17시,금요일,대전광역시 서구 둔산동,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,59세,상해없음,보행자,남,73세,중상
2022080500100435,2022년 8월 5일 17시,금요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,승용,남,40세,경상
2022080500100436,2022년 8월 5일 17시,금요일,대전광역시 유성구 봉명동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,남,64세,중상
2022080500100480,2022년 8월 5일 18시,금요일,대전광역시 서구 용문동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,남,56세,상해없음,개인형이동수단(PM),여,24세,경상
2022080500100481,2022년 8월 5일 18시,금요일,대전광역시 서구 갈마동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,30세,상해없음,승용,여,54세,경상
2022080500100515,2022년 8월 5일 19시,금요일,대전광역시 유성구 갑동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,화물,남,68세,상해없음,보행자,남,26세,중상
2022080500100592,2022년 8월 5일 22시,금요일,대전광역시 대덕구 오정동,사망사고,1,0,0,0,차량단독 - 기타,안전운전불이행,건조,맑음,기타 - 기타,자전거,남,59세,사망,,,,
2022080500100593,2022년 8월 5일 22시,금요일,대전광역시 서구 둔산동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,37세,상해없음,보행자,여,53세,경상
2022080500100613,2022년 8월 5일 23시,금요일,대전광역시 서구 갈마동,중상사고,0,1,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,63세,상해없음,승용,여,27세,중상
2022080600100009,2022년 8월 6일 00시,토요일,대전광역시 유성구 봉명동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 교량,승용,남,66세,상해없음,승용,남,45세,상해없음
2022080600100020,2022년 8월 6일 01시,토요일,대전광역시 유성구 송강동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,이륜,남,30세,중상
2022080600100051,2022년 8월 6일 05시,토요일,대전광역시 서구 탄방동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,40세,상해없음,화물,남,66세,경상
